"Colegio","Barrio","Distrito","Latitud","Longitud","Plazas_2012.2013","Plazas_2013.2014","Plazas_2014.2015","Plazas_2015.2016","Plazas_2016.2017","Admisiones_2012.2013","Solicitudes_2012.2013","Admisiones_2013.2014","Solicitudes_2013.2014","Admisiones_2014.2015","Solicitudes_2014.2015","Admisiones_2015.2016","Solicitudes_2015.2016","Admisiones_2016.2017","Solicitudes_2016.2017","PobxBarrio_2012.2013","PobxBarrio_2013.2014","PobxBarrio_2014.2015","PobxBarrio_2015.2016","PobxBarrio_2016.2017","PobxBarrio_2017.2018","Admisiones_2017.2018","Solicitudes_2017.2018"
"Ignacio Zuloaga","BELLAS VISTAS","Tetuán",40.4562549638,-3.71150553745,246,251,242,244,265,13,13,11,11,3,3,1,3,12,15,1244,1307,1337,1383,1364,1294,3.75490067145286,7.01719885475701
"Infanta Leonor","MIRASIERRA","Fuencarral - El Pardo",40.4996695214,-3.7114329556,399,431,461,481,471,7,15,3,12,2,11,0,27,0,5,2470,2373,2354,2339,2482,2593,0,11.0962403004434
"Isaac Albéniz","NUEVA ESPAÑA","Chamartín",40.4642287544,-3.66912674106,85,82,84,99,115,3,3,3,3,6,6,5,5,9,12,1320,1329,1393,1454,1479,1595,4.88178886177688,7.02937685906796
"Isaac Peral","PUERTA BONITA","Carabanchel",40.386295805,-3.7309272123,288,288,292,317,305,4,9,15,21,7,20,4,15,2,13,1864,1928,1995,1976,2000,1942,2.68566210188024,15.5113964623047
"Isabel la Católica","JUSTICIA","Centro",40.4266422154,-3.69972299491,230,248,261,268,287,14,14,21,21,17,17,8,15,3,13,527,530,574,554,521,502,4.96141573085286,15.0893626782112
"Jaime Balmes","SAN DIEGO","Puente de Vallecas",40.3879037094,-3.67076251537,281,275,270,279,290,5,12,13,15,10,20,9,20,2,19,1993,2088,2195,2227,2276,2251,3.79680039001682,18.8974596281769
"Jaime Vera","CUATRO CAMINOS","Tetuán",40.4524784135,-3.70296280762,310,308,286,275,281,4,4,7,7,3,4,4,7,3,6,1312,1304,1306,1287,1279,1322,2.43944076901191,5.88716711522279
"Javier de Miguel","PALOMERAS BAJAS","Puente de Vallecas",40.3861797185,-3.65720830761,242,248,264,255,247,2,8,2,11,8,21,3,13,0,26,2550,2433,2317,2198,2120,2061,0.81976047700733,18.3772028723455
"Joaquín Costa","IMPERIAL","Arganzuela",40.4055513538,-3.71456576736,931,952,966,946,940,27,27,45,54,2,48,0,31,0,12,1130,1102,1084,1080,1065,1059,0,25.1822065580872
"Joaquín Dicenta","PUERTA DEL ANGEL","Latina",40.4056359339,-3.738384162,115,111,117,113,123,NA,NA,3,3,3,3,1,1,NA,NA,1827,1819,1863,1854,1910,1838,NA,NA
