Colegio,Barrio,Distrito,Latitud,Longitud,Plazas_2012-2013,Plazas_2013-2014,Plazas_2014-2015,Plazas_2015-2016,Plazas_2016-2017,Admisiones_2012-2013,Solicitudes_2012-2013,Admisiones_2013-2014,Solicitudes_2013-2014,Admisiones_2014-2015,Solicitudes_2014-2015,Admisiones_2015-2016,Solicitudes_2015-2016,Admisiones_2016-2017,Solicitudes_2016-2017,Pob_x_Barrio_2012-2013,Pob_x_Barrio_2013-2014,Pob_x_Barrio_2014-2015,Pob_x_Barrio_2015-2016,Pob_x_Barrio_2016-2017,Pob_x_Barrio_2017-2018
Ciudad de Córdoba,LOS ANGELES,VILLAVERDE,40.3625193482,-3.69761089632,265.0,283.0,268.0,270.0,271.0,9.0,12.0,8.0,10.0,3.0,5.0,5.0,7.0,0.0,8.0,1423.0,1429.0,1448.0,1487.0,1498.0,1491.0
Ciudad de los Ángeles,LOS ANGELES,VILLAVERDE,40.3556455956,-3.69607978656,616.0,621.0,601.0,599.0,596.0,12.0,23.0,7.0,23.0,10.0,23.0,10.0,25.0,2.0,15.0,1423.0,1429.0,1448.0,1487.0,1498.0,1491.0
República de El Salvador,LOS ANGELES,VILLAVERDE,40.3494991115,-3.69794772807,93.0,113.0,110.0,121.0,139.0,2.0,2.0,6.0,6.0,1.0,2.0,0.0,0.0,1.0,1.0,1423.0,1429.0,1448.0,1487.0,1498.0,1491.0
Blas de Lezo,VALVERDE,FUENCARRAL-EL PARDO,40.509734261,-3.6704522713,,,,,,,,,,,,,,,,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
Gabriela Mistral,VALVERDE,FUENCARRAL-EL PARDO,40.5077420613,-3.66755252701,374.0,378.0,366.0,344.0,325.0,17.0,26.0,7.0,17.0,7.0,12.0,9.0,22.0,1.0,16.0,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
Josep Tarradellas,VALVERDE,FUENCARRAL-EL PARDO,40.509734261,-3.6704522713,63.0,144.0,262.0,401.0,526.0,4.0,4.0,18.0,18.0,17.0,17.0,8.0,18.0,1.0,17.0,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
José Bergamín,VALVERDE,FUENCARRAL-EL PARDO,40.4955109998,-3.69604807948,79.0,71.0,61.0,63.0,67.0,,,,,2.0,2.0,0.0,0.0,1.0,1.0,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
Leopoldo Calvo Sotelo,VALVERDE,FUENCARRAL-EL PARDO,40.5008331676,-3.67514332164,244.0,345.0,462.0,588.0,714.0,13.0,14.0,9.0,9.0,23.0,26.0,13.0,17.0,9.0,25.0,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
República de Paraguay,VALVERDE,FUENCARRAL-EL PARDO,40.4919481614,-3.69526785667,107.0,105.0,115.0,116.0,114.0,2.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
Vasco Núñez de Balboa,VALVERDE,FUENCARRAL-EL PARDO,40.4993973636,-3.68642288628,52.0,53.0,62.0,63.0,68.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,,,3919.0,4312.0,4790.0,5169.0,5600.0,6012.0
